
2023/08/13 (00:40:52) | ===> btop++ v.1.2.13
2023/08/13 (00:40:52) | INFO: Logger set to DEBUG
2023/08/13 (00:40:52) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (00:40:52) | INFO: Running on /dev/pts/1

2023/08/13 (01:00:36) | ===> btop++ v.1.2.13
2023/08/13 (01:00:36) | INFO: Logger set to DEBUG
2023/08/13 (01:00:36) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (01:00:36) | INFO: Running on /dev/pts/1

2023/08/13 (01:24:45) | ===> btop++ v.1.2.13
2023/08/13 (01:24:45) | INFO: Logger set to DEBUG
2023/08/13 (01:24:45) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (01:24:45) | INFO: Running on /dev/pts/2
2023/08/13 (01:24:48) | INFO: Quitting! Runtime: 00:00:03

2023/08/13 (02:44:57) | ===> btop++ v.1.2.13
2023/08/13 (02:44:57) | INFO: Logger set to DEBUG
2023/08/13 (02:44:57) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (02:44:57) | INFO: Running on /dev/pts/1

2023/08/13 (02:58:44) | ===> btop++ v.1.2.13
2023/08/13 (02:58:44) | INFO: Logger set to DEBUG
2023/08/13 (02:58:44) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (02:58:44) | INFO: Running on /dev/pts/1

2023/08/13 (03:09:04) | ===> btop++ v.1.2.13
2023/08/13 (03:09:04) | INFO: Logger set to DEBUG
2023/08/13 (03:09:04) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (03:09:04) | INFO: Running on /dev/pts/2

2023/08/13 (08:10:07) | ===> btop++ v.1.2.13
2023/08/13 (08:10:07) | INFO: Logger set to DEBUG
2023/08/13 (08:10:07) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (08:10:07) | INFO: Running on /dev/pts/0

2023/08/13 (08:19:16) | ===> btop++ v.1.2.13
2023/08/13 (08:19:16) | INFO: Logger set to DEBUG
2023/08/13 (08:19:16) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (08:19:16) | INFO: Running on /dev/pts/1

2023/08/13 (09:22:30) | ===> btop++ v.1.2.13
2023/08/13 (09:22:30) | INFO: Logger set to DEBUG
2023/08/13 (09:22:30) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (09:22:30) | INFO: Running on /dev/pts/0

2023/08/13 (09:22:46) | ===> btop++ v.1.2.13
2023/08/13 (09:22:46) | INFO: Logger set to DEBUG
2023/08/13 (09:22:46) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (09:22:46) | INFO: Running on /dev/pts/0
2023/08/13 (09:22:49) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/08/13 (09:22:49) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/08/13 (09:22:50) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/08/13 (09:22:51) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/08/13 (09:22:52) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/08/13 (09:22:53) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/08/13 (09:22:53) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/08/13 (09:22:54) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/08/13 (09:22:54) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
